OBJECTID,Project_Na,Promoter_N,Project_Ty,Category,Commission,Share_of_t,Location,Increment,Peak_Incre,Descriptio,Website,Shape__Length,PCI_PMI,country,,
343,Thyssengas Core Grid,Thyssengas GmbH,New,Transmission,2032,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
349,MosaHYc (Mosel Saar Hydrogen Conversion),Creos Deutschland Wasserstoff GmbH,New,Transmission,2029,100,Pipeline from Volklingen (Germany) over Carlingen and Bouzonville (France) to Perl and Dillingen (Germany),5.5,5.5,"MosaHYc project ( NaTran and CREOS). First phase of the project, by 2027, is 90km of which 70km are repurposed pipelines. During future phases, project will also extend into Luxemburg (project HY4link) & interconnect with NaTran’ HY-FEN project.",https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/mosahyc,,PCI,DE,,
353,German Core Network (10),Gasunie Deutschland Transport Services GmbH,New,Transmission,No data available,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
354,German Core Network (11),Gasunie Deutschland Transport Services GmbH,Conversion of existing infrastructure,Transmission,No data available,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
355,German Core Network (12),Gasunie Deutschland Transport Services GmbH,New,Transmission,No data available,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
356,German Core Network (13),Gasunie Deutschland Transport Services GmbH,Conversion of existing infrastructure,Transmission,No data available,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
357,German Core Network (14),Gasunie Deutschland Transport Services GmbH,New,Transmission,No data available,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
358,German Core Network (15),Gasunie Deutschland Transport Services GmbH,Conversion of existing infrastructure,Transmission,No data available,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
359,Thyssengas Core Grid,Thyssengas GmbH,Conversion of existing infrastructure,Transmission,2028,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
360,Thyssengas Core Grid,Thyssengas GmbH,New,Transmission,2032,No data available,No data available,No data available,No data available,No data available,No data available,,No,DE,,
361,HySoW connection to Port la Nouvelle terminal,Terega SA,Mix,Transmission,2031,100,Narbonne-Port la Nouvelle,No data available,No data available,TYNDP project H2T-N-1025,https://www.terega.fr/en/our-activities/hydrogen/hysow-hyrogen-south-west-corridor-of-france-un-projet-dinfrastructures-de/,,No,FR,,
363,HySoW connection to Lannemezan,Terega SA,Mix,Transmission,2031,100,Lias-Lannemezan,No data available,No data available,TYNDP project H2T-892,https://www.terega.fr/en/our-activities/hydrogen/hysow-hyrogen-south-west-corridor-of-france-un-projet-dinfrastructures-de/,,No,FR,,
364,Spanish hydrogen backbone 2040,Enagas Infraestructuras de Hidrogeno,Mix,Transmission,2039,100,Spain,No data available,No data available,"The Spanish hydrogen backbone gathers hydrogen transmission and storage projects of the national hydrogen network, enabling also future cross border trade flows between Spain, Portugal and France",https://www.enagas.es/en/energy-transition/hydrogen-network/,,No,ES,,
366,Spanish hydrogen backbone 2030 (PCI network),Enagas Infraestructuras de Hidrogeno,Mix,Transmission,2029,100,Spain,No data available,No data available,"The Spanish hydrogen backbone gathers hydrogen transmission and storage projects of the national hydrogen network, enabling also future cross border trade flows between Spain, Portugal and France",https://www.enagas.es/en/energy-transition/hydrogen-network/,,PCI,ES,,
371,Spanish hydrogen backbone 2030 (for 2032),Enagas Infraestructuras de Hidrogeno,Mix,Transmission,2031,100,Spain,No data available,No data available,"The Spanish hydrogen backbone gathers hydrogen transmission and storage projects of the national hydrogen network, enabling also future cross border trade flows between Spain, Portugal, France and Morroco.",https://www.enagas.es/en/energy-transition/hydrogen-network/,,No,ES,,
374,Thyssengas Core Grid,Thyssengas GmbH,New,Transmission,2030,No data available,No data available,No data avalable,No data available,No data available,No data available,,No,DE,,
378,Thyssengas Core Grid,Thyssengas GmbH,New,Transmission,2028,No data available,No data available,No data available,No data available,No data available,No data available,,No ,DE,,
379,H2 Coastlink 4 | Clean Hydrogen Coastline - H2 Infrastructure (Huntorf-Wiefelstede),Gastransport Nord GmbH,Conversion of existing infrastructure,Transmission,2032,100,The H₂Coastlink 4 will be operating between the Huntorf storage facility and Wiefelstede.,No data available,No data available,"H2 Coastlink 4 connects Huntorf storage with Hyperlink 4 via grid interconnection point in Wiefelstede. It will create a second, more efficient connection between Huntorf and H₂ core grid, increasing injection & withdrawal capacities of storage facility.",https://gtg-nord.de/en/wasserstoffnetz-en/,,No,DE,,
435,Central European Hydrogen Corridor (UKR part) Extension - North Branch,LLC Gas TSO of Ukraine (Eustream s.a. - NET4GAS s.r.o. - Open Grid Europe GmbH),Conversion of existing infrastructure,Transmission,2029,100,"Kovel, Volyn region - from Kovel to Dolyna",No data available,No data available,"The CEHC aims to create an infrastructure for transportation of green hydrogen from Ukraine to DE via SK and CZ. The project's objective in UA is to transport hydrogen from the country's promising production areas IP Uzhhorod, situated on UA-SK border.",https://www.cehc.eu/en/home/,,No,UA/DE/CZ/SK,,
440,HyPipe Bavaria - The Hydrogen Hub,bayernets GmbH,Conversion of existing infrastructure,Transmission,2030,No data available,"Pipeline from Burghausen via Munich, Ingolstadt to Ulm (156 km)",150,150,"The project establishes a H2 hub in Southern Bavaria. The project lays the foundation for the first high-performance pipeline system for green H2 in Bavaria until 2030, and includes existing repurposed infrastructure.",https://www.bayernets.de/en/,,PCI,DE,,
441,Nordic Hydrogen Route- Bothnian Bay- Swedish part (PCI),Nordion Energi AB,New,Transmission,2030,No data available,"Bi-directional transmission pipeline following the Bothnian Bay coastline between Vaasa (Finland) and Ornskoldsvik (Sweden), covering approx. 1,128 km to connect multiple H2 supply and demand clusters in both countries.",162,162,"Bi-directional transmission pipeline following the Bothnian Bay coastline between Vaasa (Finland) and Ornskoldsvik (Sweden), covering approx. 1,100 km to connect multiple H2 supply and demand clusters in both countries.",https://nordichydrogenroute.com/,,PCI,SE,,
479,GETH2-IPCEI,"Nowega GmbH, Open Grid Europe GmbH",Conversion of existing infrastructure,Transmission,2024,No data available,Pipeline from Lingen to Marl,No data available,No data available,Nowega will build a total of 210 km of H2 infrastructure between 2024 and 2026 to create a connection from Lingen to Marl. The further expansion of this network by 2030 is planned with 453 km and will enable a connection to Salzgitter.,https://www.get-h2.de/en/initiativeandvision/,,No,DE,,
481,Nordic-Baltic Hydrogen Corridor - LT section,AB Amber Grid,New,Transmission,2033,100,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://sites.google.com/view/nordic-baltic-hydrogencorridor/,,No,LT,,
482,Nordic Hydrogen Route- Bothnian Bay- Swedish part,Nordion Energi AB,New,Transmission,2030,No data available,"Bi-directional transmission pipeline following the Bothnian Bay coastline between Vaasa (Finland) and Ornskoldsvik (Sweden), covering approx. 1,128 km to connect multiple H2 supply and demand clusters in both countries.",162,162,"Bi-directional transmission pipeline following the Bothnian Bay coastline between Vaasa (Finland) and Ornskoldsvik (Sweden), covering approx. 1,100 km to connect multiple H2 supply and demand clusters in both countries.",https://nordichydrogenroute.com/,,No,SE,,
484,North Africa H2 Corridor (offshore),SeaCorridor,Mix,Transmission,2029,No data available,Onshore pipelines from Cap Bon to Gabes and Saf Saf,No data available,No data available,"The project concerns the construction of dedicated H2 transport infrastructure to connect production in North Africa to the Italian H2 Backbone in 2 steps: 1st phase (2030) 213 GWh/d of exit capacity to Italy, enhanced in a 2nd phase (2035) to 448 GWh/d",https://www.south2corridor.net/,,PCI,UNKNOWN,,
485,H2Med-CelZa (Enagas) / ES,Enagas Infraestructuras de Hidrogeno,New,Transmission,2032,100,Zamora and Spain Portugal border,81,81,"The project H2Med-CelZa, linked with the development of the H2Med-BarMar project, will enable the emergence of one of the major hydrogen import corridors via the Mediterranean identified in the REPower EU through a H2 pipeline between Portugal and Spain.",https://www.enagas.es/es/transicion-energetica/red-gasista/infraestructuras-energeticas/transporte-hidrogeno/,,PCI,ES,,
486,Finnish national hydrogen infrastructure (PCI),Gasgrid Vetyverkot Oy,New,Transmission,2030,100,No data available,No data available,200,"Finland hydrogen infrastructure will be used to promote the development of the infrastructure with industrial operators, project developers, and municipalities, among others, meeting the needs of operators and an open hydrogen market by the early 2030s.",https://gasgrid.fi/en/development/participation-in-developing-the-national-hydrogen-infrastructure/,,PCI,FI,,
